Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФІ-81,2
Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФІ-82,2
Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФІ-83,2
Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФІ-84,2
Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФФ-81,2
Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФФ-82,2
Удовицька Є. А.,Економіка і організація виробництва,+10 до семестрового рейтингу,ФФ-83,2
Кривенко-Еметов Я. Д.,Атом.фізика,+5 до семестрового рейтингу,ФФ-91,1
Кривенко-Еметов Я. Д.,Атом.фізика,+5 до семестрового рейтингу,ФФ-93,1
Кривенко-Еметов Я. Д.,Стат. фізика,+5 до семестрового рейтингу,ФФ-81,1
Кривенко-Еметов Я. Д.,Стат. фізика,+5 до семестрового рейтингу,ФФ-82,1
Кривенко-Еметов Я. Д.,Стат. фізика,+5 до семестрового рейтингу,ФФ-83,1
Кригін В. М.,Вступ до математичних методів розпізнавання образів та комп'ютерного бачення,Відстрокування домашнього завдання на тиждень,ФІ-81,1
Кригін В. М.,Вступ до математичних методів розпізнавання образів та комп'ютерного бачення,Відстрокування домашнього завдання на тиждень,ФІ-82,1
Кригін В. М.,Вступ до математичних методів розпізнавання образів та комп'ютерного бачення,Відстрокування домашнього завдання на тиждень,"ФБ-81, ФБ-82, ФБ-83, ФБ-84",1
Куссуль Н. М.,Методи машинного навчання,Залік на 90 балів,"ФБ-81, ФБ-82, ФБ-83, ФБ-84, ФІ-81, ФІ-82, ФІ-83, ФІ-84",1
Куссуль Н. М.,Олімпіадне програмування,Залік на 90 балів,"ФБ-91, ФБ-92, ФБ-93, ФБ-94, ФБ-95, ФБ-96",1
Куссуль Н. М.,Основи наукових досліджень,Залік на 90 балів,"ФІ-11мн, ФІ-11мп",1
Куссуль Н. М.,Програм. 1. Структурний підхід,Залік на 90 балів,"ФІ-11, ФІ-12, ФІ-13, ФІ-14",1
Кучинська Н. В.,Математичний аналіз 1,"+ буква, якщо не з Fx",ФБ-11,1
Кучинська Н. В.,Математичний аналіз 1,"+ буква, якщо не з Fx",ФБ-12,1
Кучинська Н. В.,Математичний аналіз 1,"+ буква, якщо не з Fx",ФБ-13,1
Кучинська Н. В.,Математичний аналіз 1,"+ буква, якщо не з Fx",ФБ-14,1
Кучинська Н. В.,Математичний аналіз 1,"+ буква, якщо не з Fx",ФЕ-11,1
Кучинська Н. В.,Криптографія,"КР на максимум, якщо не 0",ФБ-94,1
Кучинська Н. В.,Криптографія,"КР на максимум, якщо не 0",ФБ-95,1
Кучинська Н. В.,Криптографія,"КР на максимум, якщо не 0",ФБ-96,1
Лавренюк А. М.,Інформаційні технології,+5 до семестрового рейтингу,ФБ-11,1
Лавренюк А. М.,Інформаційні технології,+5 до семестрового рейтингу,ФБ-12,1
Лавренюк А. М.,Інформаційні технології,+5 до семестрового рейтингу,ФБ-13,1
Лавренюк А. М.,Інформаційні технології,+5 до семестрового рейтингу,ФБ-14,1
Лавренюк А. М.,Інформаційні технології,+5 до семестрового рейтингу,ФЕ-11,1
Лавренюк А. М.,Програмне забезпечення обчислювальних систем,+5 до семестрового рейтингу,ФІ-11,1
Лавренюк А. М.,Програмне забезпечення обчислювальних систем,+5 до семестрового рейтингу,"ФІ-12,",1
